Sted,Path ID,Path order,SVG_Flag,SVG_Afstand,Afstand
Hamborg,14,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""6.67"" fill=""#000""/><rect y=""6.67"" width=""30"" height=""6.67"" fill=""#d00""/><rect y=""13.34"" width=""30"" height=""6.66"" fill=""#fc0""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">290 km</text></svg>",290 km
København,14,0,,,
Aarhus,14,2,,,
Edinburg,15,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#003078""/><line x1=""0"" y1=""0"" x2=""30"" y2=""20"" stroke=""#fff"" stroke-width=""4""/><line x1=""30"" y1=""0"" x2=""0"" y2=""20"" stroke=""#fff"" stroke-width=""4""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">980 km</text></svg>",980 km
København,15,0,,,
Aarhus,15,2,,,
Longyearbyen,16,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#ef2b2d""/><rect x=""11"" width=""5"" height=""20"" fill=""#fff""/><rect y=""7.5"" width=""30"" height=""5"" fill=""#fff""/><rect x=""12"" width=""3"" height=""20"" fill=""#002868""/><rect y=""9"" width=""30"" height=""3"" fill=""#002868""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">2 500 km</text></svg>",2 500 km
København,16,0,,,
Aarhus,16,2,,,
Samsø,17,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#c60c30""/><rect x=""10"" width=""4"" height=""20"" fill=""#fff""/><rect y=""8"" width=""30"" height=""4"" fill=""#fff""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">125 km</text></svg>",125 km
København,17,0,,,
Aarhus,17,2,,,
Skopje,18,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#ce2028""/><circle cx=""15"" cy=""10"" r=""3"" fill=""#f7d117""/><line x1=""15"" y1=""0"" x2=""15"" y2=""20"" stroke=""#f7d117"" stroke-width=""1.5""/><line x1=""0"" y1=""10"" x2=""30"" y2=""10"" stroke=""#f7d117"" stroke-width=""1.5""/><line x1=""0"" y1=""0"" x2=""30"" y2=""20"" stroke=""#f7d117"" stroke-width=""1.5""/><line x1=""30"" y1=""0"" x2=""0"" y2=""20"" stroke=""#f7d117"" stroke-width=""1.5""/><line x1=""0"" y1=""5"" x2=""30"" y2=""15"" stroke=""#f7d117"" stroke-width=""1.5""/><line x1=""30"" y1=""5"" x2=""0"" y2=""15"" stroke=""#f7d117"" stroke-width=""1.5""/><line x1=""7"" y1=""0"" x2=""23"" y2=""20"" stroke=""#f7d117"" stroke-width=""1.5""/><line x1=""23"" y1=""0"" x2=""7"" y2=""20"" stroke=""#f7d117"" stroke-width=""1.5""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">1 650 km</text></svg>",1 650 km
København,18,0,,,
Aarhus,18,2,,,
