Sted,Land,Path ID,Path order,Latitude,Longitude,Pil
Nairobi,Kenya,10,1,-1.29,36.82,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(13,11,11)""/></svg>"
Brisbane,Australia,10,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Tripoli,Libya,11,1,32.89,13.18,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(24,11,11)""/></svg>"
Brisbane,Australia,11,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Antananarivo,Madagascar,12,1,-18.91,47.54,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(5,11,11)""/></svg>"
Brisbane,Australia,12,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Rabat,Morocco,13,1,34.02,-6.83,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(22,11,11)""/></svg>"
Brisbane,Australia,13,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Maputo,Mozambique,14,1,-25.97,32.59,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(1,11,11)""/></svg>"
Brisbane,Australia,14,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Windhoek,Namibia,15,1,-22.56,17.08,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(2,11,11)""/></svg>"
Brisbane,Australia,15,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Abuja,Nigeria,16,1,9.06,7.49,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(15,11,11)""/></svg>"
Brisbane,Australia,16,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Kigali,Rwanda,17,1,-1.94,30.06,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(12,11,11)""/></svg>"
Brisbane,Australia,17,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Dakar,Senegal,18,1,14.69,-17.44,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(14,11,11)""/></svg>"
Brisbane,Australia,18,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Pretoria,South Africa,19,1,-25.74,28.19,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(1,11,11)""/></svg>"
Brisbane,Australia,19,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Juba,South Sudan,20,1,4.86,31.6,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(15,11,11)""/></svg>"
Brisbane,Australia,20,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Khartoum,Sudan,21,1,15.55,32.53,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(20,11,11)""/></svg>"
Brisbane,Australia,21,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Dodoma,Tanzania,22,1,-6.17,35.74,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(11,11,11)""/></svg>"
Brisbane,Australia,22,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Tunis,Tunisia,23,1,36.82,10.17,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(26,11,11)""/></svg>"
Brisbane,Australia,23,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Kampala,Uganda,24,1,0.32,32.58,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(13,11,11)""/></svg>"
Brisbane,Australia,24,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Lusaka,Zambia,25,1,-15.41,28.28,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(6,11,11)""/></svg>"
Brisbane,Australia,25,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Harare,Zimbabwe,26,1,-17.83,31.05,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(5,11,11)""/></svg>"
Brisbane,Australia,26,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Kabul,Afghanistan,27,1,34.53,69.17,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(38,11,11)""/></svg>"
Brisbane,Australia,27,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Yerevan,Armenia,28,1,40.19,44.5,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(34,11,11)""/></svg>"
Brisbane,Australia,28,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Baku,Azerbaijan,29,1,40.41,49.87,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(35,11,11)""/></svg>"
Brisbane,Australia,29,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Manama,Bahrain,30,1,26.22,50.59,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(29,11,11)""/></svg>"
